format	width	quality	size	dssim	filename
webp	300	94	64706	0.00066673	./quality-samples/sample3.jpg
webp	300	91	55880	0.00080053	./quality-samples/sample3.jpg
webp	300	92	58370	0.00077072	./quality-samples/sample3.jpg
webp	300	93	61308	0.00070951	./quality-samples/sample3.jpg
webp	300	95	68146	0.00062056	./quality-samples/sample3.jpg
jpeg	300	72	33617	0.00239081	./quality-samples/sample0.jpg
jpeg	300	71	33423	0.00244481	./quality-samples/sample0.jpg
jpeg	300	75	16184	0.00140761	./quality-samples/sample2.jpg
jpeg	300	73	33907	0.00229336	./quality-samples/sample0.jpg
jpeg	300	74	16105	0.00142301	./quality-samples/sample2.jpg
jpeg	300	72	15285	0.00160547	./quality-samples/sample2.jpg
jpeg	300	74	34305	0.00218679	./quality-samples/sample0.jpg
jpeg	300	75	34424	0.00214309	./quality-samples/sample0.jpg
jpeg	300	73	15646	0.00150235	./quality-samples/sample2.jpg
jpeg	300	70	31252	0.00218566	./quality-samples/sample1.jpg
webp	300	96	73244	0.00057335	./quality-samples/sample3.jpg
webp	300	98	81556	0.0005001	./quality-samples/sample3.jpg
webp	300	97	75740	0.00055445	./quality-samples/sample3.jpg
webp	300	99	85878	0.00049788	./quality-samples/sample3.jpg
jpeg	300	76	34726	0.00203463	./quality-samples/sample0.jpg
jpeg	300	79	35823	0.001812	./quality-samples/sample0.jpg
jpeg	300	78	35547	0.0018776	./quality-samples/sample0.jpg
jpeg	300	78	17638	0.00123467	./quality-samples/sample2.jpg
webp	300	100	221330	0.00001974	./quality-samples/sample3.jpg
jpeg	300	80	36307	0.00170355	./quality-samples/sample0.jpg
jpeg	300	79	17958	0.00119443	./quality-samples/sample2.jpg
jpeg	300	77	35148	0.00195015	./quality-samples/sample0.jpg
jpeg	300	80	18479	0.00112207	./quality-samples/sample2.jpg
jpeg	300	75	34371	0.00184806	./quality-samples/sample1.jpg
jpeg	300	74	34056	0.00188155	./quality-samples/sample1.jpg
jpeg	300	72	32338	0.00203841	./quality-samples/sample1.jpg
jpeg	300	73	33082	0.00197402	./quality-samples/sample1.jpg
jpeg	300	77	17122	0.0012611	./quality-samples/sample2.jpg
jpeg	300	71	31878	0.00209339	./quality-samples/sample1.jpg
jpeg	300	76	16581	0.00133667	./quality-samples/sample2.jpg
jpeg	300	70	32159	0.00288358	./quality-samples/sample3.jpg
jpeg	300	81	36785	0.00162609	./quality-samples/sample0.jpg
jpeg	300	84	38391	0.00138872	./quality-samples/sample0.jpg
jpeg	300	83	37876	0.00146966	./quality-samples/sample0.jpg
jpeg	300	82	37233	0.00154635	./quality-samples/sample0.jpg
jpeg	300	84	21102	0.00091307	./quality-samples/sample2.jpg
jpeg	300	85	38971	0.00128675	./quality-samples/sample0.jpg
jpeg	300	82	19660	0.00101051	./quality-samples/sample2.jpg
jpeg	300	81	19127	0.00105095	./quality-samples/sample2.jpg
jpeg	300	83	20487	0.00095515	./quality-samples/sample2.jpg
jpeg	300	79	38148	0.00154722	./quality-samples/sample1.jpg
jpeg	300	76	35237	0.00177024	./quality-samples/sample1.jpg
jpeg	300	85	21701	0.0008634	./quality-samples/sample2.jpg
jpeg	300	80	39274	0.00146255	./quality-samples/sample1.jpg
